Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10480,10500,10420,10440,0.00581,683350
2010-01-05,10540,10620,10500,10600,0.005899,657750
2010-01-06,10640,10760,10400,10760,0.005988,1577900
2010-01-07,10820,10820,10460,10580,0.005888,1717500
2010-01-08,10720,10720,10480,10520,0.005854,642350
2010-01-11,10460,10540,10200,10200,0.005676,900400
2010-01-12,10160,10380,10100,10380,0.005777,1415650
2010-01-13,10300,10300,10100,10160,0.005654,814300
2010-01-14,10200,10420,10160,10380,0.005777,1263050
2010-01-15,10280,10480,10280,10380,0.005777,2350850
2010-01-18,10400,10480,10280,10400,0.005788,917400
2010-01-19,10500,10560,10300,10420,0.005799,991200
2010-01-20,10560,10740,10480,10660,0.005932,1677100
2010-01-21,10660,10860,10560,10800,0.00601,1310450
2010-01-22,10600,10660,10500,10600,0.005899,905500
2010-01-25,10380,10660,10380,10640,0.005921,875850
2010-01-26,10640,10640,10300,10400,0.005788,640300
2010-01-27,10200,10380,10120,10140,0.005643,1082550
2010-01-28,10220,10400,10080,10140,0.005643,1258850
2010-01-29,10100,10260,9950,10260,0.00571,1686400
2010-02-01,10300,10340,10040,10040,0.005587,1268550
2010-02-02,10240,10280,10100,10240,0.005699,1041600
2010-02-03,10280,10320,10200,10280,0.005721,1033800
2010-02-04,10260,10340,10200,10200,0.005676,1021800
2010-02-05,10060,10060,9740,9840,0.005476,1294750
2010-02-08,9860,10000,9830,9960,0.005543,715850
2010-02-09,9760,9870,9730,9870,0.005493,1462150
2010-02-10,9900,9940,9730,9850,0.005482,443800
2010-02-11,9760,10080,9760,10080,0.00561,708450
2010-02-12,10100,10120,9990,10100,0.005621,1627250
2010-02-16,10100,10120,10000,10080,0.00561,508950
2010-02-17,10180,10180,10100,10160,0.005654,1227500
2010-02-18,10180,10240,10000,10060,0.005598,464100
2010-02-19,10000,10140,9880,9960,0.005543,738650
2010-02-22,10080,10100,10020,10100,0.005621,432200
2010-02-23,9950,10040,9740,9850,0.005482,1527100
2010-02-24,9780,9800,9710,9710,0.005404,588500
2010-02-25,9720,9730,9430,9470,0.00527,859950
2010-02-26,9570,9750,9440,9750,0.005426,672500
2010-03-02,9910,10080,9750,9990,0.00556,1349450
2010-03-03,9850,9980,9840,9920,0.005521,439200
2010-03-04,10040,10040,9750,9850,0.005482,533650
2010-03-05,9850,9920,9840,9920,0.005521,1668350
2010-03-08,10040,10040,9930,9980,0.005554,3534000
2010-03-09,10000,10000,9890,9920,0.005521,509000
2010-03-10,9900,9980,9870,9980,0.005554,321800
2010-03-11,9940,9990,9930,9940,0.005532,1985000
2010-03-12,9970,10000,9950,10000,0.005565,546600
2010-03-15,10100,10140,10040,10100,0.005621,1780850
2010-03-16,10100,10160,10080,10160,0.005654,2043650
2010-03-17,10280,10420,10260,10400,0.005788,1372400
2010-03-18,10440,10460,10380,10420,0.005799,520750
2010-03-19,10500,10500,10380,10480,0.005832,329100
2010-03-22,10400,10460,10320,10340,0.005754,510800
2010-03-23,10460,10500,10400,10480,0.005832,535600
2010-03-24,10480,10660,10460,10600,0.005899,1385000
2010-03-25,10600,10700,10600,10600,0.005899,2150850
2010-03-26,10700,10700,10580,10700,0.005955,1007700
2010-03-29,10640,10900,10640,10800,0.00601,1312800
2010-03-30,10900,10980,10880,10980,0.00611,1451300
2010-03-31,10980,11000,10700,10760,0.005988,1474150
2010-04-01,10820,11100,10820,11080,0.006166,1651050
2010-04-02,11100,11200,11080,11180,0.006222,620700
2010-04-05,11220,11500,11160,11500,0.0064,1264900
2010-04-06,11560,11580,11440,11560,0.006433,716000
2010-04-07,11500,11540,11400,11480,0.006389,1575250
2010-04-08,11420,11440,11380,11420,0.006355,1549400
2010-04-09,11420,11420,11080,11160,0.006211,1110050
2010-04-12,11040,11080,10560,10600,0.005899,2733650
2010-04-13,10600,10660,10480,10600,0.005899,2624650
2010-04-14,10720,10880,10680,10860,0.006044,1164600
2010-04-15,10960,11000,10700,10880,0.006055,1936700
2010-04-16,10860,10920,10840,10900,0.006066,1033350
2010-04-19,10840,10920,10640,10640,0.005921,1279250
2010-04-20,10740,10740,10580,10700,0.005955,995250
2010-04-21,10800,10920,10800,10920,0.006077,947400
2010-04-22,10820,10880,10640,10680,0.005944,1170450
2010-04-23,10680,10760,10600,10600,0.005899,982150
2010-04-26,10680,10880,10580,10660,0.005932,1067100
2010-04-27,10560,10660,10540,10580,0.005888,1465800
2010-04-28,10360,10500,10360,10460,0.005821,570450
2010-04-29,10460,10500,10400,10460,0.005821,620600
2010-04-30,10480,10640,10480,10540,0.005866,4583250
2010-05-03,10460,10540,10380,10460,0.005821,1194250
2010-05-04,10560,10640,10420,10460,0.005821,505550
2010-05-06,10360,10360,10240,10280,0.005721,1461100
2010-05-07,10100,10240,10020,10240,0.005699,1460500
2010-05-10,10280,10420,10200,10220,0.005688,539550
2010-05-11,10300,10340,9980,10000,0.005565,1130350
2010-05-12,10260,10260,10060,10200,0.005676,880400
2010-05-13,10220,10580,10220,10400,0.005788,1475750
2010-05-14,10420,10440,10300,10400,0.005788,1573450
2010-05-17,10360,10380,10120,10380,0.005777,1135950
2010-05-18,10240,10300,10140,10220,0.005688,883500
2010-05-19,10340,10340,10000,10220,0.005688,1198650
2010-05-20,10120,10240,9990,10000,0.005565,970900
2010-05-24,10000,10200,9900,10160,0.005654,1157250
2010-05-25,10020,10140,9740,9880,0.005498,678200
2010-05-26,9940,10160,9820,9850,0.005482,1293000
2010-05-27,9860,10220,9820,10100,0.005621,946850
2010-05-28,10160,10300,10000,10240,0.005699,1483050
2010-05-31,10160,10320,10080,10320,0.005743,1230800
2010-06-01,10300,10360,10160,10360,0.005765,1788700
2010-06-03,10480,10580,10380,10560,0.005877,2144800
2010-06-04,10560,10820,10540,10780,0.005999,817600
2010-06-07,10660,10740,10420,10700,0.005955,433600
2010-06-08,10660,10700,10560,10560,0.005877,1343650
2010-06-09,10560,10560,10280,10300,0.005732,915150
2010-06-10,10440,10520,10340,10500,0.005843,286900
2010-06-11,10620,11040,10580,11040,0.006144,1426050
2010-06-14,11060,11260,11000,11200,0.006233,1488550
2010-06-15,11160,11160,10940,11060,0.006155,1304850
2010-06-16,11180,11340,11160,11160,0.006211,1643500
2010-06-17,11260,11260,10860,11060,0.006155,935800
2010-06-18,11000,11060,10840,10920,0.006077,838350
2010-06-21,11040,11080,10940,11000,0.006122,825600
2010-06-22,10960,10960,10700,10700,0.005955,810900
2010-06-23,10580,10680,10520,10680,0.005944,983750
2010-06-24,10680,10840,10660,10780,0.005999,1538800
2010-06-25,10660,11000,10540,10740,0.005977,858000
2010-06-28,10660,10720,10560,10720,0.005966,999300
2010-06-29,10780,10820,10580,10640,0.011097,744550
2010-06-30,10460,10560,10360,10500,0.010951,1183400
2010-07-01,10460,10600,10280,10280,0.010722,1314550
2010-07-02,10380,10640,10380,10580,0.011035,1848800
2010-07-05,10480,10620,10340,10560,0.011014,368750
2010-07-06,10380,10720,10240,10720,0.011181,1782350
2010-07-07,10640,10680,10260,10260,0.010701,2562000
2010-07-08,10440,10480,10300,10400,0.010847,1260450
2010-07-09,10420,10700,10400,10680,0.011139,733350
2010-07-12,10680,10760,10640,10720,0.011181,1172850
2010-07-13,10760,10780,10660,10740,0.011201,644650
2010-07-14,10820,11080,10820,11000,0.011473,2503350
2010-07-15,11000,11040,10860,11020,0.011494,876650
2010-07-16,11000,11000,10880,10920,0.011389,463950
2010-07-19,10740,10860,10700,10700,0.01116,295400
2010-07-20,10760,11000,10680,10800,0.011264,941250
2010-07-21,10720,11000,10720,11000,0.011473,788500
2010-07-22,10800,10940,10680,10700,0.01116,941700
2010-07-23,10720,10920,10720,10880,0.011348,1079950
2010-07-26,10900,10960,10900,10960,0.011431,830400
2010-07-27,11060,11200,11040,11140,0.011619,1480650
2010-07-28,11140,11220,11140,11220,0.011702,828050
2010-07-29,11140,11200,11140,11200,0.011681,862550
2010-07-30,11180,11180,11060,11140,0.011619,1793250
2010-08-02,11180,11260,11080,11260,0.011744,819550
2010-08-03,11260,11340,11140,11340,0.011827,2472950
2010-08-04,11340,11480,11280,11400,0.01189,2086000
2010-08-05,11320,11340,11100,11180,0.01166,1513400
2010-08-06,11140,11180,10920,10960,0.011431,1447550
2010-08-09,10960,11000,10840,10900,0.011368,329200
2010-08-10,11060,11060,10880,10880,0.011348,550100
2010-08-11,10900,10900,10780,10780,0.011243,769450
2010-08-12,10520,10580,10460,10460,0.010909,1405350
2010-08-13,10700,10820,10540,10800,0.011264,334400
2010-08-16,10740,10880,10720,10860,0.011327,474600
2010-08-17,10880,10880,10840,10860,0.011327,580450
2010-08-18,10800,11000,10780,10960,0.011431,1271400
2010-08-19,10820,10960,10800,10920,0.011389,1025300
2010-08-20,10640,10820,10640,10800,0.011264,880600
2010-08-23,10800,10840,10780,10840,0.011306,297400
2010-08-24,10840,10900,10780,10800,0.011264,1171400
2010-08-25,10520,10720,10460,10480,0.01093,1293550
2010-08-26,10500,10560,10460,10480,0.01093,883200
2010-08-27,10500,10620,10500,10600,0.011055,981650
2010-08-30,10700,10700,10560,10660,0.011118,469100
2010-08-31,10580,10660,10580,10660,0.011118,1531400
2010-09-01,10620,10800,10600,10800,0.011264,1387650
2010-09-02,10860,11040,10700,10800,0.011264,2047450
2010-09-03,10760,10960,10760,10860,0.011327,1762950
2010-09-06,10760,11020,10760,10960,0.011431,1113800
2010-09-07,11040,11040,10880,10980,0.011452,2088800
2010-09-08,10960,10960,10740,10880,0.011348,765800
2010-09-09,10760,10880,10760,10880,0.011348,770950
2010-09-10,11000,11000,10820,10980,0.011452,897150
2010-09-13,10980,11000,10820,10940,0.01141,1336900
2010-09-14,11000,11000,10540,10960,0.011431,2152350
2010-09-15,10900,11020,10780,10960,0.011431,3027700
2010-09-16,11000,11080,10940,10980,0.011452,727400
2010-09-17,11000,11160,10900,11120,0.011598,2801000
2010-09-20,11100,11200,11020,11200,0.011681,700300
2010-09-24,11200,11200,11060,11180,0.01166,4735300
2010-09-27,11200,11200,10880,10940,0.01141,1174350
2010-09-28,11000,11020,10760,10840,0.011306,1515550
2010-09-29,10960,11040,10900,11000,0.011473,1015950
2010-09-30,11000,11140,10960,11140,0.011619,697200
2010-10-01,11180,11360,11140,11360,0.011848,1298150
2010-10-04,11360,11600,11360,11600,0.012098,2861100
2010-10-05,11560,11560,11460,11560,0.012057,1506000
2010-10-06,11540,11820,11540,11800,0.012307,1518450
2010-10-07,11600,11700,11460,11600,0.012098,719700
2010-10-08,11440,11440,11160,11360,0.011848,841050
2010-10-11,11280,11360,11060,11220,0.011702,1027750
2010-10-12,11160,11200,10880,10940,0.01141,2210950
2010-10-13,11100,11100,10920,10960,0.011431,4079600
2010-10-14,11040,11120,10980,11060,0.011535,774250
2010-10-15,11060,11200,11000,11200,0.011681,2192600
2010-10-18,11200,11220,11020,11020,0.011494,351000
2010-10-19,11040,11080,11000,11060,0.011535,704150
2010-10-20,10960,11140,10960,11140,0.011619,797400
2010-10-21,11200,11240,11040,11120,0.011598,1555100
2010-10-22,11180,11220,11120,11200,0.011681,1564600
2010-10-25,11220,11240,11160,11180,0.01166,607500
2010-10-26,11180,11200,11120,11160,0.01164,1137300
2010-10-27,11160,11220,11120,11140,0.011619,463850
2010-10-28,11160,11280,11160,11240,0.011723,542400
2010-10-29,11240,11240,10880,11060,0.011535,1532000
2010-11-01,10940,11100,10940,11060,0.011535,605500
2010-11-02,11200,11220,11020,11120,0.011598,1041000
2010-11-03,11120,11220,11020,11160,0.01164,773450
2010-11-04,11180,11560,11120,11520,0.012015,1587800
2010-11-05,11680,11820,11600,11760,0.012265,869850
2010-11-08,11860,11860,11760,11840,0.012349,1020150
2010-11-09,11760,11900,11640,11840,0.012349,903650
